name,value
rcp85 mid-century,82.1799469
rcp85 mid-century,83.02099609
rcp85 mid-century,81.80899048
rcp85 mid-century,81.2191925
rcp85 mid-century,81.96081543
rcp85 mid-century,82.31584167
rcp85 mid-century,83.43062592
rcp85 mid-century,83.05834961
rcp85 mid-century,82.84620667
rcp85 mid-century,82.63702393
rcp85 mid-century,81.86386108
rcp85 mid-century,83.16491699
rcp85 mid-century,82.76792908
rcp85 mid-century,82.40950012
rcp45 end-century,81.15090942
rcp45 end-century,81.32493591
rcp45 end-century,82.67251587
rcp45 end-century,81.85447693
rcp45 end-century,82.16505432
rcp45 end-century,82.8911438
rcp45 end-century,82.04025269
rcp45 end-century,81.9653244
rcp45 end-century,81.35020447
rcp45 end-century,81.77965546
rcp45 end-century,82.33226776
rcp45 end-century,83.65486145
rcp45 end-century,82.22499084
rcp45 end-century,82.01707459
rcp45 end-century,82.54116821
rcp45 end-century,83.00842285
rcp45 end-century,82.21202087
rcp45 end-century,82.25569153
rcp45 end-century,81.52526855
rcp45 end-century,83.31323242
rcp45 end-century,81.08718872
rcp45 end-century,82.59489441
rcp45 end-century,82.32452393
rcp45 end-century,81.76367188
rcp45 end-century,83.33575439
rcp45 end-century,82.7137146
rcp45 end-century,82.37104797
rcp45 end-century,83.36608124
rcp45 end-century,81.83305359
rcp45 end-century,82.13847351
rcp85 end-century,85.40838623
rcp85 end-century,85.85684204
rcp85 end-century,84.94602966
rcp85 end-century,83.7013855
rcp85 end-century,84.2492218
rcp85 end-century,84.60192871
rcp85 end-century,84.83538818
rcp85 end-century,84.88197327
rcp85 end-century,85.0907135
rcp85 end-century,85.36053467
rcp85 end-century,89.57028198
rcp85 end-century,86.92290497
rcp85 end-century,86.71471405
rcp85 end-century,85.60552979
rcp85 end-century,86.26734924
rcp85 end-century,86.5422821
rcp85 end-century,85.20458984
rcp85 end-century,89.91783142
rcp85 end-century,86.62852478
rcp85 end-century,85.74017334
rcp85 end-century,87.80049133
rcp85 end-century,85.6362915
rcp85 end-century,88.42781067
rcp85 end-century,86.69361877
rcp85 end-century,86.60501099
rcp85 end-century,87.376091
rcp85 end-century,88.02148438
rcp85 end-century,87.74621582
rcp85 end-century,92.14097595
rcp85 end-century,87.18789673
