date,Attribute,Value
7/7/2015 0:00,meanTemp,75
7/7/2015 0:00,maxTemp,84
7/7/2015 0:00,minTemp,65
7/8/2015 0:00,meanTemp,79
7/8/2015 0:00,maxTemp,88
7/8/2015 0:00,minTemp,69
7/9/2015 0:00,meanTemp,66
7/9/2015 0:00,maxTemp,69
7/9/2015 0:00,minTemp,63
7/10/2015 0:00,meanTemp,69
7/10/2015 0:00,maxTemp,77
7/10/2015 0:00,minTemp,60
7/11/2015 0:00,meanTemp,76
7/11/2015 0:00,maxTemp,83
7/11/2015 0:00,minTemp,68
7/12/2015 0:00,meanTemp,81
7/12/2015 0:00,maxTemp,89
7/12/2015 0:00,minTemp,72
7/13/2015 0:00,meanTemp,72
7/13/2015 0:00,maxTemp,77
7/13/2015 0:00,minTemp,67
7/14/2015 0:00,meanTemp,74
7/14/2015 0:00,maxTemp,82
7/14/2015 0:00,minTemp,65
7/15/2015 0:00,meanTemp,75
7/15/2015 0:00,maxTemp,82
7/15/2015 0:00,minTemp,67
7/16/2015 0:00,meanTemp,64
7/16/2015 0:00,maxTemp,68
7/16/2015 0:00,minTemp,59
7/17/2015 0:00,meanTemp,68
7/17/2015 0:00,maxTemp,75
7/17/2015 0:00,minTemp,60
7/18/2015 0:00,meanTemp,71
7/18/2015 0:00,maxTemp,78
7/18/2015 0:00,minTemp,64
7/19/2015 0:00,meanTemp,81
7/19/2015 0:00,maxTemp,90
7/19/2015 0:00,minTemp,71
7/20/2015 0:00,meanTemp,81
7/20/2015 0:00,maxTemp,92
7/20/2015 0:00,minTemp,70
7/21/2015 0:00,meanTemp,76
7/21/2015 0:00,maxTemp,81
7/21/2015 0:00,minTemp,70
7/22/2015 0:00,meanTemp,77
7/22/2015 0:00,maxTemp,84
7/22/2015 0:00,minTemp,69
7/23/2015 0:00,meanTemp,75
7/23/2015 0:00,maxTemp,82
7/23/2015 0:00,minTemp,67
7/24/2015 0:00,meanTemp,74
7/24/2015 0:00,maxTemp,81
7/24/2015 0:00,minTemp,66
7/25/2015 0:00,meanTemp,66
7/25/2015 0:00,maxTemp,69
7/25/2015 0:00,minTemp,62
7/26/2015 0:00,meanTemp,71
7/26/2015 0:00,maxTemp,79
7/26/2015 0:00,minTemp,63
7/27/2015 0:00,meanTemp,77
7/27/2015 0:00,maxTemp,86
7/27/2015 0:00,minTemp,68
7/28/2015 0:00,meanTemp,78
7/28/2015 0:00,maxTemp,86
7/28/2015 0:00,minTemp,70
7/29/2015 0:00,meanTemp,82
7/29/2015 0:00,maxTemp,92
7/29/2015 0:00,minTemp,71
7/30/2015 0:00,meanTemp,83
7/30/2015 0:00,maxTemp,91
7/30/2015 0:00,minTemp,74
7/31/2015 0:00,meanTemp,81
7/31/2015 0:00,maxTemp,89
7/31/2015 0:00,minTemp,73
8/1/2015 0:00,meanTemp,79
8/1/2015 0:00,maxTemp,90
8/1/2015 0:00,minTemp,68
8/2/2015 0:00,meanTemp,78
8/2/2015 0:00,maxTemp,88
8/2/2015 0:00,minTemp,68
8/3/2015 0:00,meanTemp,79
8/3/2015 0:00,maxTemp,90
8/3/2015 0:00,minTemp,68
8/4/2015 0:00,meanTemp,78
8/4/2015 0:00,maxTemp,89
8/4/2015 0:00,minTemp,66
8/5/2015 0:00,meanTemp,75
8/5/2015 0:00,maxTemp,85
8/5/2015 0:00,minTemp,65
8/6/2015 0:00,meanTemp,74
8/6/2015 0:00,maxTemp,82
8/6/2015 0:00,minTemp,65
8/7/2015 0:00,meanTemp,69
8/7/2015 0:00,maxTemp,73
8/7/2015 0:00,minTemp,64
8/8/2015 0:00,meanTemp,69
8/8/2015 0:00,maxTemp,76
8/8/2015 0:00,minTemp,61
8/9/2015 0:00,meanTemp,68
