caso,parola,frequenza,index,x,y,vy,vx
2,caso,635,72,197.37636699270698,614.0312802785595,-0.09403067632522936,-0.005133528440446122
2,sempre,628,73,495.97447553859905,554.7485725853855,-0.09688818985908629,-0.0023791859727367217
2,vita,617,74,560.5092162578627,696.4831058109911,-0.08905153551439436,-0.0006554965366797911
3,olio,5392,75,229.41938360945406,486.00192916255247,-0.09527923802435169,-0.008319000589242826
3,palma,4519,76,814.7990017109684,595.0144257744741,-0.09275619798484679,0.004825262319297817
3,prodotti,2924,77,110.7972219592265,682.5426956272719,-0.09177059678795356,-0.006292198002216866
3,alimentare,2115,78,575.0364584113584,503.93610109148926,-0.09256946113056401,0.0014032297168456108
3,grassi,1963,79,641.7806125240322,718.9054579805098,-0.09039246636287615,-0.001402564043180642
3,consumatori,1760,80,252.71281207535625,675.705323806708,-0.0944578412436689,-0.00680511541819851
3,latte,1153,81,714.9569807785865,600.4847209195303,-0.0930859434210396,0.004608300038573594
3,salute,1147,82,162.56333632651027,651.2967015397282,-0.09238064521835611,-0.007997962105963544
3,molto,1095,83,186.75126681296666,530.5071605436744,-0.08870882095507839,-0.0014522964112403422
3,aziende,1090,84,682.9801644264876,668.630076640262,-0.09454970274313555,0.0003582028213238971
3,fatto,1061,85,108.63650033555713,563.3740911241329,-0.09362786968417768,-0.00800233240481738
3,essere,1021,86,742.5222044624096,521.6483356972362,-0.09373161778841868,0.0073540237357020135
3,stati,1019,87,405.4419476613485,711.3888282851268,-0.09138239480605524,0.0011728160567839407
3,senza,1016,88,85.22609300723863,528.9367842518254,-0.09505285111750268,-0.006168724273704723
3,fare,935,89,871.6775479555089,586.5359482840719,-0.09214448076602925,0.004894795400859885
3,italia,931,90,60.55392954970167,672.6011475952703,-0.09034698557368769,-0.006724819939488515
3,possono,868,91,635.85763605867,506.3280505855776,-0.09450984352349169,0.0048833936802567856
3,ingredienti,851,92,642.6423069647226,672.974101674134,-0.0903833991896584,0.0007882718234811237
3,nuovo,844,93,6.6939359597355415,613.2384997524757,-0.09457570036650494,-0.007989602427206597
3,pubblicita,836,94,628.746873001832,544.4194935253724,-0.09451779925738964,0.0035342849554015543
3,utilizzo,830,95,442.37669158619946,696.3586351317632,-0.08731284970690006,0.0029301540048649053
3,qualita,827,96,421.681529017135,513.9962442771456,-0.09474098151800323,-0.003066904479734727
3,indicando,814,97,785.3849512913298,643.2767925220872,-0.09312652785933763,0.003601730164755891
3,zucchero,810,98,125.55686891601776,634.5174139658172,-0.09246440617270467,-0.008109899386366241
3,caso,790,99,741.1497543025987,479.3083846420554,-0.09513523696693717,0.005891709002650764
4,vegana,2222,100,517.929388139019,681.2616707955641,-0.09102701063210436,-0.00020244661604971326
4,animali,1569,101,239.08990623236875,617.0012736350277,-0.09229341117595241,-0.005257182947821538
4,alimentazione,1213,102,852.6090996225541,549.0329947708095,-0.09280727633180388,0.00471577503922456
4,dieta,1199,103,304.77623474741796,677.1798022873763,-0.09212387798137762,-0.003335027802780685
4,carne,995,104,491.34079687636284,515.7173920111728,-0.09357441685909022,-0.0027930782692368703
4,vegano,949,105,883.7789524525116,698.9243120593225,-0.0925349383835694,0.003969477899472514
4,cucina,934,106,48.66369942497911,546.794871167487,-0.0931833408252803,-0.005256654452159999
4,casa,886,107,711.4384689023334,547.3570597229481,-0.09558635082289485,0.005539994191666875
4,essere,886,108,479.16840751492634,708.8445957737254,-0.08688139175514885,0.002836740249068291
4,cibo,836,109,170.17517575258697,493.0711308029645,-0.09550178446636526,-0.008404903916321356
4,mangiare,808,110,747.5728927503058,647.8480762134684,-0.09233039267687271,0.0037618409722298316
4,vegetariani,778,111,69.29107355326624,710.3744190870055,-0.09054151431887296,-0.005583625853323158
4,prodotti,774,112,530.6194040874154,490.70814812761165,-0.09652359612023,0.0003069433461530048
4,molto,764,113,722.2736471997003,675.748770142725,-0.09309965393718195,0.002970113735984305
4,scelta,714,114,152.7495493573002,565.5622326089181,-0.09274805642343278,-0.005787077842941999
4,senza,694,115,793.0092814073737,543.9793154112322,-0.0929695129145786,0.005213388099572636
4,salute,690,116,181.03261549903687,686.3107012177958,-0.09253578737299743,-0.007213443231447849
4,giorno,676,117,277.51824312898754,581.1503090086825,-0.0992501209573388,0.0016277506083881542
4,sempre,642,118,870.8853597571132,624.1033904141855,-0.09181048930814224,0.0053387481017975165
4,bambini,639,119,109.12447175132404,601.8644782084592,-0.09326756698400983,-0.006514036125227402
4,ristorante,633,120,666.1331263208727,485.12362365608874,-0.09238355438654715,0.0066928830253320136
4,piatti,594,121,594.7476661493374,643.8383242327711,-0.09237983661301483,0.00037252645333036015
4,fare,586,122,395.32876091382485,586.1564684494589,-0.09212331536245343,-0.000858652396268908
4,piccolo,567,123,822.1612887821439,524.8768177467178,-0.09355321208809665,0.00474590022885517
4,primo,565,124,214.8619106894985,694.4570253086287,-0.09304098412457336,-0.006406290181338519
5,coli,2659,125,489.04643325560124,465.247288911053,-0.0936026859404569,-0.0014990514824661301
5,batteri,2656,126,771.8274457748604,690.4525644153049,-0.09299887641875107,0.0049120841290735935
5,escherichia,2461,127,-65.37827680851761,599.0806803391251,-0.09336369499103994,-0.0054792383167543875
5,stati,2460,128,785.7253163265058,496.9498499377404,-0.0958735798925996,0.0064869541728812714
5,divieto,2342,129,445.2505406673528,743.9898903324473,-0.08730857677204952,0.001010792793355686
5,mare,2294,130,337.5534132964714,487.88250423249616,-0.09637286460883969,-0.00255501553345967
5,arpat,1985,131,953.2606842442099,639.2915991289076,-0.09252015119439806,0.00538009617331556
5,balneazione,1948,132,16.41332991392319,657.9946980888892,-0.09508367317678808,-0.005236894804179491
5,acqua,1913,133,613.4064692422817,466.4105657003541,-0.09271537894175645,0.0012049975938865593
5,casi,1867,134,584.4839524502639,732.6053489073826,-0.09115779439191063,0.0027411560643778054
5,acque,1796,135,3.722104438354745,538.5834857289868,-0.09512990383588016,-0.0049020167815320035
5,comune,1730,136,910.9871803197465,609.0675354790138,-0.09223071600233312,0.005208007389522983
5,analisi,1691,137,197.3829155140208,732.4908260826402,-0.0927644839921423,-0.0058090460069720245
5,giorni,1581,138,289.68069850704586,509.87799412486135,-0.10242503822887004,-0.0053362094804347655
5,risultati,1552,139,897.1442544860249,656.604696418306,-0.09208598090977595,0.0056394695389217495
5,inquinamento,1431,140,-28.92814075837125,636.974809247284,-0.09240519986668007,-0.006478710663133906
5,tratto,1413,141,704.2333914696354,499.828089411866,-0.09300159447227611,0.006931417117692699
5,essere,1337,142,514.871887422455,731.9771948771247,-0.09078407007457609,0.005365637242211346
5,campioni,1305,143,49.7137865069823,504.0958647731755,-0.09322365829349719,-0.007379585395490425
5,fatto,1268,144,954.8060910890597,590.19249020231,-0.09245591366339462,0.005139237410396553
5,presenza,1262,145,153.09286427244345,715.4706379824236,-0.09162797616267847,-0.006245810187660007
5,nuovo,1191,146,555.5959014923856,458.64892809541703,-0.09362857366963799,0.0040471773637443045
5,zona,1166,147,698.7437567265605,708.5670067459874,-0.09466728622969423,0.0007835025229173568
5,problema,1158,148,-18.09390551269876,580.591107961212,-0.09592740319056184,-0.006437707550201657
5,controlli,1142,149,855.2829245011185,505.474810228029,-0.09256328349845545,0.005522099524175628
